source_row,nombre_ie,cod_local,cod_modular,nivel,modalidad,distrito,rei,nombre_director,estado
657,1267,313591,1041557,secundaria,EBR,LURIGANCHO,14,TRUCIOS PACO ALFREDO PEDRO,active
658,1267,313591,1041276,primaria,EBR,LURIGANCHO,14,BALTAZAR SULCA FRANK,active
659,HELAMAN,314524,1040161,primaria,EBR,LURIGANCHO,SIN REI,LOPEZ ABAD VIOLETA CATALINA,active
660,EL PARAISO,293201,0705285,primaria,EBR,ATE,SIN REI,VILCHEZ CORDOVA OLIVIA CONSUELO,active
661,EL PARAISO,293201,1046226,secundaria,EBR,ATE,SIN REI,VILCHEZ CORDOVA OLIVIA CONSUELO,active
662,DOMINGO SAVIO,293423,1045574,primaria,EBR,ATE,SIN REI,LAURA ALFARO MARIA TERESA,active
663,ROSA VICTORIA MARTICORENA,293022,1044908,primaria,EBR,ATE,SIN REI,VIDAL ULLOA MARTA JUDITH,active
664,ESTUDIO Y ENSEÑANZA SANTA ROSA S.C.,293121,0705293,primaria,EBR,ATE,SIN REI,ROJAS LAZO ALFREDO,active
665,ROSA VICTORIA MARTICORENA,293022,1046754,secundaria,EBR,ATE,SIN REI,VIDAL ULLOA MARTA JUDITH,active
666,046 VICTOR RAUL HAYA DE LA TORRE,292254,0449868,secundaria,EBR,ATE,8,MARIACA PEÑA EINER,active
667,WINNETKA,298406,0449595,secundaria,EBR,CHACLACAYO,SIN REI,GARRO PEÑA ANTHONY MANUEL,active
668,SAN BENITO DE PALERMO,293036,1046838,secundaria,EBR,ATE,SIN REI,CARMONA HURTADO JUANA ELIZABETH,active
669,NUEVA GENERACION,294366,1008630,secundaria,EBR,ATE,SIN REI,TOVAR PEREZ HERMINIO,active
670,BELEN,293376,1075829,secundaria,EBR,ATE,SIN REI,CASTILLO ALBA ROSA MARIA,active
671,SAN ANTONIO DE PADUA DE SANTA MARIA,314331,1065184,secundaria,EBR,LURIGANCHO,SIN REI,CAMPOS VALDIVIA SILVIA TRINIDAD,active
672,BELEN,293376,1045459,primaria,EBR,ATE,SIN REI,CASTILLO ALBA ROSA MARIA,active
673,DIVINO MAESTRO,293871,0778779,primaria,EBR,ATE,SIN REI,VALVERDE MANCCO LILIANA LIZ,active
674,SANTA MARIA DEL CAMINO,293734,1076025,primaria,EBR,ATE,SIN REI,LOAYZA FERNANDEZ LOURDES ANA,active
675,LOS NIÑOS DE JESUS DE CERES,292895,1044106,primaria,EBR,ATE,SIN REI,DE LA TORRE VASQUEZ VILMA RUTH,active
676,ALTAIR,307694,1076090,primaria,EBR,LA MOLINA,SIN REI,GREGORY DEBRA ANN,active
677,SAN ISIDRO PATRON DE JICAMARCA,314661,1075423,primaria,EBR,LURIGANCHO,SIN REI,MORALES RISCO JESUS HUMBERTO,active
678,ESTUDIO Y ENSEÑANZA SANTA ROSA S.C.,293121,0765354,secundaria,EBR,ATE,SIN REI,ROJAS LAZO ALFREDO,active
679,JEAN PIAGET,307948,1039460,secundaria,EBR,LA MOLINA,SIN REI,EGOCHEAGA ALVARADO DINA LUZ,active
680,SANTO DOMINGO DE JESUS,294597,1224278,primaria,EBR,ATE,SIN REI,MONTES ESKENAZY PATRICIA MIRELLA,active
681,WALDORF LIMA,308250,0639435,primaria,EBR,LA MOLINA,SIN REI,RODRIGUEZ NARREA MARIO ARTURO,active
682,MARIA RAFOLS,294540,1224559,primaria,EBR,ATE,SIN REI,PACHECO PALOMINO AMPARO,active
683,WALDORF DE CIENEGUILLA,300843,1224633,primaria,EBR,CIENEGUILLA,SIN REI,CARDENAS SALAZAR MARCELINO,active
684,INMACULADO CORAZON DE MARIA,308226,1224310,primaria,EBR,LA MOLINA,SIN REI,ROMANI MONTEAGUDO DE GARCIA ROSA IMELDA,active
685,CORONEL VICTOR FAJARDO,298487,1224435,secundaria,EBR,CHACLACAYO,SIN REI,RUIZ PAREJA CARMEN,active
686,0028 JESUS Y MARIA,307514,0582411,secundaria,EBR,LA MOLINA,2,AYLAS AVILA MIRIAM SOFIA,active
687,SANTISIMA VIRGEN DE COCHARCAS,293140,1045343,primaria,EBR,ATE,SIN REI,CASTILLO ROMERO VILMA,active
688,0025 SAN MARTIN DE PORRES,292188,0582312,secundaria,EBR,ATE,9,BAUTISTA ORIHUELA ELIZABETH VICTORIA,active
689,FAMILIA DE NAZARETH,292782,1223551,secundaria,EBR,ATE,SIN REI,NEGRON ITURREGUI JANET,active
690,JULIO RAMON RIBEYRO,719261,1188705,primaria,EBR,ATE,SIN REI,RIMACHI YARANGA PAULINO,active
691,ING. CARLOS LISSON BEINGOLEA,307552,0319517,primaria,EBR,LA MOLINA,SIN REI,PRADO VARGAS MACHUCA MARIA INES,active
692,SANTA FELICIA,308170,0501403,primaria,EBR,LA MOLINA,SIN REI,PERALTA OCAÑA VICTOR HORTENCIO,active
693,FAMILIA DE NAZARETH,292782,1045731,primaria,EBR,ATE,SIN REI,JANETT NEGRON ITURREGUI,active
694,SANTA MAGDALENA SOFIA BARAT,307665,0692491,b_sica_especial_primaria,EBR,LA MOLINA,SIN REI,SERVAT VILLALOBOS PATRICIA,active
695,JUAN PABLO II,307608,0692517,b_sica_especial_primaria,EBR,LA MOLINA,SIN REI,GANOZA SOTO DIANA ESTHER,active
696,14 ROTARY CLUB LA MOLINA,307444,0778308,b_sica_especial_primaria,EBR,LA MOLINA,SIN REI,SANTIVAÑEZ QUISPE CLAUDIA ROSENDA,active
697,13 JESUS AMIGO,291966,0643809,b_sica_especial_primaria,EBR,ATE,SIN REI,CASTRO CONDORI ADELMA,active
698,11 REPUBLICA DE URUGUAY,314133,0546309,b_sica_especial_primaria,EBR,LURIGANCHO,SIN REI,FLORES REQUEJO MARIA CLAUDIA,active
699,15 MADRE TERESA DE CALCUTA,291773,1045830,b_sica_especial_primaria,EBR,ATE,SIN REI,PORRAS MENDIZABAL FANNY,active
700,LA ALEGRIA EN EL SEÑOR,307991,0643775,inicial_jard_n,EBR,LA MOLINA,SIN REI,RAMIREZ RAMOS DE MUÑOZ CARMEN ROSA,active
701,12 LA LUZ DEL MUNDO,298251,0603662,b_sica_especial_primaria,EBR,CHACLACAYO,SIN REI,SAMANIEGO PEREZ FLAVIANA,active
702,NICOLAS DE PIEROLA,313893,0693044,t_cnico_productiva,EBR,LURIGANCHO,SIN REI,ROQUE NAVARRO LOIDA FLORENCIA,active
703,VICTOR RAUL HAYA DE LA TORRE,292254,0469452,t_cnico_productiva,EBR,ATE,SIN REI,MARIACA PEÑA EINER,active
704,VIRGEN DE LAS MERCEDES,307420,0765438,t_cnico_productiva,EBR,LA MOLINA,SIN REI,ISIDRO CAMAC ROSARIO MARIA,active
705,INSTITUCION DE ALTOS ESTUDIOS DE BELLEZA PERU CATOLICA EXCELECIA SAC,808016,0777946,t_cnico_productiva,EBR,ATE,SIN REI,DE LA CRUZ QUESADA LUIS DEMETRIO,active
706,INCA GARCILASO DE LA VEGA,294149,1187780,t_cnico_productiva,EBR,ATE,SIN REI,MARGARITA TERRY CANO,active
707,SAN MARTIN DE PORRES,849922,0450387,t_cnico_productiva,EBR,LURIGANCHO,SIN REI,BAÑARES GAMARRA CELIA,active
708,NUESTRA SEÑORA DE MONSERRAT,718308,1074665,t_cnico_productiva,EBR,LURIGANCHO,SIN REI,SILVA DE MONTOYA VILMA RAQUEL,active
709,REINA DE LA PAZ,293767,0780049,t_cnico_productiva,EBR,ATE,SIN REI,PORTUGAL GALINDO ISABEL MERCEDES,active
710,1136 JOHN F. KENNEDY,292070,0315242,b_sica_alternativa_inicial_e_intermedio,EBR,ATE,SIN REI,FRANCO ORDOÑEZ SILVIA ROSA,active
711,0024 PEDRO ENRIQUE GONZALES SOTO,291853,0317131,primaria,EBR,ATE,8,SILVESTRE SAVERO PAOLA GIANINA,active
712,EDELMIRA DEL PANDO,292013,0449728,b_sica_alternativa_avanzado,EBR,ATE,SIN REI,ROCA NUÑEZ JORGE FELIX,active
713,1136 JOHN F. KENNEDY,292070,0469759,b_sica_alternativa_avanzado,EBR,ATE,SIN REI,FRANCO ORDOÑEZ SILVIA ROSA,active
714,NUESTRA SEÑORA DEL PERPETUO SOCORRO,292980,0835389,primaria,EBR,ATE,SIN REI,PRADO ARCIBIA YANETH GLADYS,active
715,FRANKLIN DELANO ROOSEVELT,307533,0319640,primaria,EBR,LA MOLINA,SIN REI,JORDAN KING ELIO,active
716,6088,300739,0328872,primaria,EBR,CIENEGUILLA,1,VERA ROJAS HAYDEE LILIANA,active
717,LA ALEGRIA EN EL SEÑOR,307991,0340190,primaria,EBR,LA MOLINA,SIN REI,RAMIREZ RAMOS DE MUÑOZ CARMEN ROSA,active
