"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"SANTA LUISA DE MARILLAC","339303","1007210","primaria","EBR","SANTA ANITA","SIN REI","FARROMEQUE DUEÑAS SOCORRO","active"
"LUMBRERAS DE SANTA ANITA","339708","1007335","secundaria","EBR","SANTA ANITA","SIN REI","ALTAMIRANO CARDENAS RAYMUNDO PABLO","active"
"AMIGOS DE JESUS","338940","1007459","primaria","EBR","SANTA ANITA","SIN REI","ROJAS GASCO LIDA","active"
"SANTA MARIA DE JESUS","856776","1007814","primaria","EBR","SANTA ANITA","SIN REI","GUTIERREZ GARBOZA GREIS","active"
"DIEGO THOMSON","338997","1007897","secundaria","EBR","SANTA ANITA","SIN REI","HERRERA MACEDO JOSE GERMAN","active"
"SAN AGUSTIN","339690","1007970","primaria","EBR","SANTA ANITA","SIN REI","PORRAS CLEMENTE DAVID FERNANDO","active"
"JUAN VALER SANDOVAL","338902","1008176","inicial_jardin","EBR","SANTA ANITA","5","CONDOR TORRES JORGE LUIS","active"
"JUAN VALER SANDOVAL","338902","1008218","primaria","EBR","SANTA ANITA","5","CONDOR TORRES JORGE LUIS","active"
"WILLIAM SHAKESPEARE","339893","1008291","inicial_jardin","EBR","SANTA ANITA","SIN REI","VIDAL LOPEZ MIRIAM CLOTILDE","active"
"WILLIAM SHAKESPEARE","339893","1008333","primaria","EBR","SANTA ANITA","SIN REI","VIDAL LOPEZ MIRIAM CLOTILDE","active"
"NUEVA GENERACION","294366","1008358","primaria","EBR","ATE","SIN REI","TOVAR PEREZ HERMINIO","active"
"SAN MARTIN DE PORRES DE SALAMANCA","293098","1008390","primaria","EBR","ATE","SIN REI","CASTRO JOKON BERTHA AMPARO","active"
"1137 JOSE ANTONIO ENCINAS","338817","1008440","secundaria","EBR","SANTA ANITA","4","ARIAS HUAMANÍ MARIZOL YANETH","active"
"VIRGEN DE LAS MERCEDES","293932","1008598","primaria","EBR","ATE","SIN REI","MARAVI REATEGUI PAMELA","active"
"NUEVA GENERACION","294366","1008630","secundaria","EBR","ATE","SIN REI","TOVAR PEREZ HERMINIO","active"
"DIVINO MAESTRO","510186","1008754","tecnico_productiva","EBR","ATE","SIN REI","DURAN ZEGARRA ISAIAS","active"
"RODOLFO HORACIO ZEBALLOS GAMES","338916","1009042","inicial_jardin","EBR","SANTA ANITA","5","CAJACHAHUA ESPINOZA ELENA JULIA","active"
"CRISTO SALVADOR","294267","1009075","secundaria","EBR","ATE","SIN REI","MARTINEZ VARGAS BATSHEVA KARIM","active"
"SANTA LUISA DE MARILLAC","339303","1009166","inicial_jardin","EBR","SANTA ANITA","SIN REI","FARROMEQUE DUEÑAS SOCORRO","active"
"VIRGEN DEL CARMEN","339567","1009208","inicial_jardin","EBR","SANTA ANITA","SIN REI","MOLINA FUERTES VICTOR RAUL","active"
"SAN IGNACIO DE LOYOLA","338978","1022607","primaria","EBR","SANTA ANITA","SIN REI","LAURENTE RODRIGUEZ MARIA","active"
"SINAI","339256","1022763","primaria","EBR","SANTA ANITA","SIN REI","MUQUILLAZA ROCA MELITON","active"
"VIRGEN DEL CARMEN","300838","1039437","secundaria","EBR","CIENEGUILLA","SIN REI","VALVERDE MURGA FELIX EDGARDO","active"
"JEAN PIAGET","307948","1039460","secundaria","EBR","LA MOLINA","SIN REI","EGOCHEAGA ALVARADO DINA LUZ","active"
"193","292616","1039478","inicial_jardin","EBR","ATE","13","GAMARRA GARCIA ELIZABETH","active"
"CRISTO DE LA PAZ","314473","1039486","inicial_jardin","EBR","LURIGANCHO","SIN REI","ZEVALLOS MALLMA JUAN CARLOS","active"
"NUESTRA SEÑORA DE GUIA","308071","1039502","secundaria","EBR","LA MOLINA","SIN REI","OSHIRO ROJAS DE SOTO FELICITA","active"
"195 ANGELITOS DE JESUS","292169","1039510","inicial_jardin","EBR","ATE","9","VALENCIA VARGAS ELIZABETH","active"
"EDUARDO FORGA","314487","1039528","inicial_jardin","EBR","LURIGANCHO","SIN REI","QUISPE CCALLA SUSANA MARGOT","active"
"196","292560","1039551","inicial_jardin","EBR","ATE","6","MELENDEZ CABRERA ILIANA SEGUNDINA","active"
"HELAMAN","314524","1039569","inicial_jardin","EBR","LURIGANCHO","SIN REI","LOPEZ ABAD VIOLETA CATALINA","active"
"JOHN DEWEY","314543","1039601","inicial_jardin","EBR","LURIGANCHO","SIN REI","TACO BELLIDO SOFIA BASILIA","active"
"SOL DE LA MOLINA","308207","1039627","secundaria","EBR","LA MOLINA","SIN REI","GARCIA SANCHEZ DORA FLORENTINA","active"
"DIVINA GRACIA","298492","1039635","inicial_jardin","EBR","CHACLACAYO","SIN REI","CARHUALLANQUI ALIAGA NELLY RUTH","active"
"VIRGEN DEL ROSARIO DE YUNGAY","307670","1039668","secundaria","EBR","LA MOLINA","SIN REI","VASQUEZ MENDEZ ELMIRA C.","active"
"0053 SAN VICENTE DE PAUL","298067","1039676","secundaria","EBR","CHACLACAYO","17","CALERO CRISTOBAL MILTON CESAR","active"
"HANS CHRISTIAN ANDERSEN","298350","1039759","inicial_jardin","EBR","CHACLACAYO","SIN REI","CHAMBERGO YAURI ROMULA","active"
"SANTA RITA DE CASIA","314369","1039809","inicial_jardin","EBR","LURIGANCHO","SIN REI","GUTIERREZ GALINDO FANNY","active"
"LOMAS DE SANTA MARIA","298524","1039833","inicial_jardin","EBR","CHACLACAYO","SIN REI","QUISPE HILARIO ENEDINA","active"
"MARIE CURIE","298449","1039916","inicial_jardin","EBR","CHACLACAYO","SIN REI","PAJUELO ONCOY GLADYS MARIA ISABEL","active"
"UNION","314722","1039924","inicial_jardin","EBR","LURIGANCHO","SIN REI","ALTEZ ORTIZ ETHEL","active"
"1273 MI PERU","338898","1039940","primaria","EBR","SANTA ANITA","5","ROBLES REYES CONSUELO","active"
"PULGARCITO","298430","1039999","inicial_jardin","EBR","CHACLACAYO","SIN REI","NAVARRO MARTI ROSA MARIA","active"
"AMIGOS DE JESUS","338940","1040021","inicial_jardin","EBR","SANTA ANITA","SIN REI","ROJAS GASCO LIDA","active"
"VIRGEN DE CHAPI","298393","1040039","inicial_jardin","EBR","CHACLACAYO","SIN REI","VALENZUELA VALCARCEL JAVIER MANUEL","active"
"SANTA CRUZ","308165","1040054","inicial_jardin","EBR","LA MOLINA","SIN REI","SALVADOR PEREZ DALILA","active"
"ANTONIO RAIMONDI","619445","1040062","inicial_jardin","EBR","LURIGANCHO","SIN REI","KNUTZEN CARMEN NICOLAS JULIO","active"
"CULTURA NASCA","338983","1040104","inicial_jardin","EBR","SANTA ANITA","SIN REI","QUISPE HUAMAN ANTONIA","active"
"EDUARDO FORGA","314487","1040120","primaria","EBR","LURIGANCHO","SIN REI","QUISPE CCALLA SUSANA MARGOT","active"
"DIEGO THOMSON","338997","1040146","inicial_jardin","EBR","SANTA ANITA","SIN REI","HERRERA MACEDO JOSE GERMAN","active"
"HELAMAN","314524","1040161","primaria","EBR","LURIGANCHO","SIN REI","LOPEZ ABAD VIOLETA CATALINA","active"
"SAN ANTONIO","308132","1040179","inicial_jardin","EBR","LA MOLINA","SIN REI","CACEDA PEDEMONTE ANA BERTHA","active"
"LOMAS DE SANTA MARIA","298524","1040195","primaria","EBR","CHACLACAYO","SIN REI","QUISPE HILARIO ENEDINA","active"
"JOHN DEWEY","314543","1040203","primaria","EBR","LURIGANCHO","SIN REI","TACO BELLIDO SOFIA BASILIA","active"
"LOS LIBERTADORES","298500","1040237","primaria","EBR","CHACLACAYO","SIN REI","ROJAS PALOMINO GUILLERMO RAFAEL","active"
"ERNEST HEMINGWAY","339015","1040260","inicial_jardin","EBR","SANTA ANITA","SIN REI","SILVA CACEDA ROGELIO","active"
"MARIE CURIE","298449","1040278","primaria","EBR","CHACLACAYO","SIN REI","PAJUELO ONCOY GLADYS MARIA ISABEL","active"
"LITTLE GARDEN","307651","1040294","inicial_jardin","EBR","LA MOLINA","SIN REI","RIVERA TREJO MARIANELA ROXANA","active"
"SANTA RITA DE CASIA","314369","1040369","primaria","EBR","LURIGANCHO","SIN REI","GUTIERREZ GALINDO FANNY","active"
"BLAS PASCAL","298307","1040393","secundaria","EBR","CHACLACAYO","SIN REI","MUCHA BARTOLO JULIO CESAR","active"
"SACO OLIVEROS DE CHACLACAYO","298312","1040435","secundaria","EBR","CHACLACAYO","SIN REI","VALDERRAMA VALLADARES LILIANA GRISSELL","active"
"COLORES","307892","1040492","inicial_cuna_jardin","EBR","LA MOLINA","SIN REI","MATZUMURA MIYAUCHI MIRIAM MARLENE","active"
"CRISTO DE LA PAZ","314473","1040526","secundaria","EBR","LURIGANCHO","SIN REI","ZEVALLOS MALLMA JUAN CARLOS","active"
"HUMANITAS","720472","1040534","inicial_jardin","EBR","LA MOLINA","SIN REI","DODERO CAYETANO SABINA ROSA","active"
"ASIS","298294","1040559","primaria","EBR","CHACLACAYO","SIN REI","MELENDEZ TOCTO YOLA","active"
"BLAS PASCAL","298307","1040591","primaria","EBR","CHACLACAYO","SIN REI","MUCHA BARTOLO JULIO CESAR","active"
"LEV VIGOSTKY EL MAESTRO","339138","1040625","inicial_jardin","EBR","SANTA ANITA","SIN REI","PALACIOS ECHEVVARRIA LUDY","active"
"CORONEL VICTOR FAJARDO","298487","1040633","primaria","EBR","CHACLACAYO","SIN REI","RUIZ PAREJA CARMEN","active"
"SAN CARLOS","314388","1040641","secundaria","EBR","LURIGANCHO","SIN REI","BENAVIDES MORALES EMMA ISABEL ELDA","active"
"DIVINA GRACIA","298492","1040674","primaria","EBR","CHACLACAYO","SIN REI","CARHUALLANQUI ALIAGA NELLY RUTH","active"
"SANTA RITA DE CASIA","314369","1040682","secundaria","EBR","LURIGANCHO","SIN REI","GUTIERREZ GALINDO FANNY","active"
"SANTA ANA","339162","1040708","inicial_jardin","EBR","SANTA ANITA","SIN REI","WAIDHOFER LEON ALAN ROBERT","active"
"HANS CHRISTIAN ANDERSEN","298350","1040716","primaria","EBR","CHACLACAYO","SIN REI","CHAMBERGO YAURI ROMULA","active"
"143 ESTRELLITAS DEL SABER","314294","1040831","inicial_jardin","EBR","LURIGANCHO","16","TARRAGA ALANYA LUZ MARLENE","active"
"SAINT PATRICK'S CHRISTIAN COLLEGE","307887","1040856","primaria","EBR","LA MOLINA","SIN REI","GONZALES ILIZARBE ALEX EDMUNDO","active"
"SEMILLAS DE JESUS","339242","1040864","inicial_jardin","EBR","SANTA ANITA","SIN REI","YAURI CHAGUA ANA","active"
"DORA MAYER","307726","1040898","primaria","EBR","LA MOLINA","SIN REI","HERNANDEZ LA TORRE MAYER ESTH","active"
"197 NIÑO JESUS DE PRAGA","313968","1040914","inicial_cuna_jardin","EBR","LURIGANCHO","14","ARTEAGA CRUZ AMY ANDREA","active"
"SAN JUAN MACIAS","339157","1040948","inicial_jardin","EBR","SANTA ANITA","SIN REI","VILLEGAS ZELA OBDULIA BERENISSE","active"
"200 LOS ANGELITOS DEL SABER","313685","1040955","inicial_jardin","EBR","LURIGANCHO","16","RODRIGUEZ FLORES MYRIAM LUZ","active"
"JEAN LE BOULCH","307571","1040971","primaria","EBR","LA MOLINA","SIN REI","SARA INFANTE KATTERINE LILIANA","active"
"201","314109","1040997","inicial_jardin","EBR","LURIGANCHO","14","PEÑA PESEROS ROSA ELVIRA","active"
"JUAN ENRIQUE NEWMAN","307972","1041011","primaria","EBR","LA MOLINA","SIN REI","TAFUR REATEGUI DE ZEGARRA AMALIA","active"
"SANTA MARIA DE JESUS","339204","1041029","inicial_jardin","EBR","SANTA ANITA","SIN REI","GUTIERREZ GARBOZA GREIS","active"
"202 ESTRELLITAS DEL PARAISO","314208","1041037","inicial_jardin","EBR","LURIGANCHO","14","GALA LLAUCA VIRGINIA MERCEDES","active"
"203 VALLE DEL TRIUNFO","314270","1041078","inicial_jardin","EBR","LURIGANCHO","15","MAGNO ESPINOZA ALICIA BEATRIZ","active"
"ANTONIO RAIMONDI","619445","1041144","primaria","EBR","LURIGANCHO","SIN REI","KNUTZEN CARMEN NICOLAS JULIO","active"
"CORAZON DE MARIA","307849","1041169","inicial_jardin","EBR","LA MOLINA","SIN REI","ESQUIVEL CORNEJO EULALIA ELEANA","active"
"CULTURA NASCA","338983","1041185","primaria","EBR","SANTA ANITA","SIN REI","QUISPE HUAMAN ANTONIA","active"
"217 DIOS ES AMOR","314265","1041193","inicial_jardin","EBR","LURIGANCHO","14","RODRIGUEZ GALAN QUELIDONIA ESCILA","active"
"DIEGO THOMSON","338997","1041227","primaria","EBR","SANTA ANITA","SIN REI","HERRERA MACEDO JOSE GERMAN","active"
"SANTA CRUZ","308165","1041250","primaria","EBR","LA MOLINA","SIN REI","SALVADOR PEREZ DALILA","active"
"1267","313591","1041276","primaria","EBR","LURIGANCHO","14","BALTAZAR SULCA FRANK","active"
"SAN VICENTE DE PAUL","308146","1041292","primaria","EBR","LA MOLINA","SIN REI","ESQUIVEL ÁLVAREZ PATRICIA CONSUELO","active"
"1275","313633","1041318","primaria","EBR","LURIGANCHO","14","ENCISO TRUJILLO ANA JULIA","active"
"SANTA CECILIA","308151","1041334","primaria","EBR","LA MOLINA","SIN REI","REYES VIVAS ORLANDO PERCY FELIX","active"
"ERNEST HEMINGWAY","339015","1041342","primaria","EBR","SANTA ANITA","SIN REI","SILVA CACEDA ROGELIO","active"
"1276","314246","1041359","primaria","EBR","LURIGANCHO","14","TITO CARRERA ROSA OLINDA","active"
"SOL DE LA MOLINA","308207","1041375","primaria","EBR","LA MOLINA","SIN REI","GARCIA SANCHEZ DORA FLORENTINA","active"
"1277 DIVINO SALVADOR","314289","1041391","primaria","EBR","LURIGANCHO","15","HERRERA VILLAYZAN DI STEFANO","active"
"EL CASTILLO ENCANTADO","307905","1041409","inicial_jardin","EBR","LA MOLINA","SIN REI","GUIZADO CARDENAS MAVEI","active"
"1282 AYMON LA CRUZ LOPEZ","313789","1041433","primaria","EBR","LURIGANCHO","15","CABALLERO JESSEN RAUL MANUEL","active"
"1284","313614","1041474","primaria","EBR","LURIGANCHO","14","VILCHEZ PALOMINO FELIX HIPOLITO","active"
"FAR WEST","720858","1041482","inicial_cuna_jardin","EBR","LA MOLINA","SIN REI","GAVIDIA ARRASCUE DE LEON LILIA ANTONIETA","active"
"1250","314005","1041516","secundaria","EBR","LURIGANCHO","14","BARRIENTOS FERNANDEZ RICHARD ROLANDO","active"
"1267","313591","1041557","secundaria","EBR","LURIGANCHO","14","TRUCIOS PACO ALFREDO PEDRO","active"
"ALBERT EINSTEIN","307825","1041615","secundaria","EBR","LA MOLINA","SIN REI","PADILLA HIJAR CIRA LAURE","active"
"PABLO NERUDA","718445","1041623","primaria","EBR","SANTA ANITA","SIN REI","DAVILA VASQUEZ CESAR APOLINAR","active"
"FE Y ALEGRIA 41","314519","1041631","secundaria","EBR","LURIGANCHO","16","FLORES TUPALAYA BEATRIZ GRACIELA","active"
"JEAN LE BOULCH","307571","1041649","inicial_jardin","EBR","LA MOLINA","SIN REI","SARA INFANTE KATTERINE LILIANA","active"
"SAINT PATRICK'S CHRISTIAN COLLEGE","307887","1041656","secundaria","EBR","LA MOLINA","SIN REI","GONZALES ILIZARBE ALEX EDMUNDO","active"
"HORMIGUITAS DE NEWMAN","307972","1041680","inicial_jardin","EBR","LA MOLINA","SIN REI","TAFUR REATEGUI DE ZEGARRA AMALIA","active"
"LEV VIGOSTKY EL MAESTRO","339138","1041706","primaria","EBR","SANTA ANITA","SIN REI","PALACIOS ECHEVVARRIA LUDY","active"
"JEAN LE BOULCH","307571","1041730","secundaria","EBR","LA MOLINA","SIN REI","SARA INFANTE KATTERINE LILIANA","active"
"LOS NIÑOS DE JESUS DE CERES","292895","1044106","primaria","EBR","ATE","SIN REI","DE LA TORRE VASQUEZ VILMA RUTH","active"
"ELVIRA GARCIA Y GARCIA","293442","1044122","inicial_jardin","EBR","ATE","SIN REI","JIMENEZ MACAVILCA ALICIA MIRIAN","active"
"DANIEL GOLEMAN","292904","1044189","primaria","EBR","ATE","SIN REI","MEDRANO ASTUHUAMAN ELSA MELIDA","active"
"SEMILLAS DE JESUS","339242","1044197","primaria","EBR","SANTA ANITA","SIN REI","YAURI CHAGUA ANA","active"
"FAMILIA DE NAZARETH","292782","1044205","inicial_jardin","EBR","ATE","SIN REI","NEGRON ITURREGUI JANETT","active"
"MAESTRO DIVINO","294494","1044221","primaria","EBR","ATE","SIN REI","MACHUCA ARRIETA ZENOBIA","active"
"FRANCISCO ANTONIO DE ZELA","292796","1044247","inicial_jardin","EBR","ATE","SIN REI","HUAIRA RAYMUNDO TEODOSIO","active"
"ROSA VICTORIA MARTICORENA","293022","1044296","inicial_jardin","EBR","ATE","SIN REI","VIDAL ULLOA MARTA JUDITH","active"
"GABRIELA MISTRAL","293833","1044320","inicial_jardin","EBR","ATE","SIN REI","FLORES JUNES MARIA CONSUELO","active"
"VIRGEN DE GUADALUPE","293970","1044338","inicial_jardin","EBR","ATE","SIN REI","CAMARENA GUILLERMO EDITHN SOFIA JOSE HEBER","active"
"SAN JUAN MACIAS","339157","1044353","secundaria","EBR","SANTA ANITA","SIN REI","VILLEGAS ZELA OBDULIA BERENISSE","active"
"SANTA ANA","339162","1044395","secundaria","EBR","SANTA ANITA","SIN REI","WAIDHOFER LEON ALAN ROBERT","active"
"CIENTIFICO ISAAC NEWTON","292937","1044429","primaria","EBR","ATE","SIN REI","ROBLES PICHO BETZABE BERTHA","active"
"SANTA MARGARITA DE JESUS","719812","1044437","secundaria","EBR","SANTA ANITA","SIN REI","DE LA CRUZ ALMEYDA VICTOR","active"
"198 SAN MIGUEL ARCANGEL","291805","1044478","inicial_jardin","EBR","ATE","12","ATHOS QUINCHO MARIETA ANSELMA","active"
"INTERNACIONAL ELIM","292843","1044486","inicial_jardin","EBR","ATE","SIN REI","MEZA VALENZUELA MIGUEL ANGEL","active"
"204","292664","1044551","inicial_jardin","EBR","ATE","13","MARTINEZ MARTINEZ LUCIA AURORA","active"
"PITAGORAS DE ATE","293343","1044585","primaria","EBR","ATE","SIN REI","CARRASCO HUAYAC ABSALON","active"
"205","292635","1044593","inicial_jardin","EBR","ATE","13","ROQUE CABALLERO PALMIRA MERCEDES","active"
"NUESTRA SEÑORA DE GUADALUPE","292961","1044627","primaria","EBR","ATE","SIN REI","ROMERO GRANADOS ANA ISABEL","active"
"206 HUELLITAS DE AMOR","292211","1044635","inicial_jardin","EBR","ATE","12","ORTEGA LOPEZ DE LOPEZ MARIA MARGARITA","active"
"JESUS PASTOR","292862","1044643","inicial_jardin","EBR","ATE","SIN REI","LAZO LUDEÑA ROBERTO MICHAEL","active"
"DIVINO NIÑO JESUS","294291","1044650","inicial_jardin","EBR","ATE","SIN REI","CASTILLO PURIZACA MARIA ELENA","active"
"JOHN DALTON","293946","1044684","inicial_jardin","EBR","ATE","SIN REI","MALDONADO TAIPE HEDY GRACIELA","active"
"DOMINGO SAVIO","293423","1044692","inicial_jardin","EBR","ATE","SIN REI","LAURA ALFARO MARIA TERESA","active"
"208","292659","1044718","inicial_jardin","EBR","ATE","13","DAVILA MALLMA GINELLA DEL ROCIO","active"
"JOHANN FRIEDRICH HERBART","292876","1044726","inicial_jardin","EBR","ATE","SIN REI","CUEVA BENITES MIGUEL EDUARDO","active"
"PEDRO RUIZ GALLO","719077","1044742","primaria","EBR","ATE","SIN REI","IZAGUIRRE NORIEGA SUSANA","active"
"209 MELVA CEDILIA ROJAS ALIAGA","291928","1044759","inicial_jardin","EBR","ATE","6","HUALPA FLORES GRISELDA CLARIBEL","active"
"JOSE OLAYA","294470","1044767","inicial_jardin","EBR","ATE","SIN REI","TORRES BLAS ELIAS","active"
"ALFRED NOBEL","294154","1044775","inicial_jardin","EBR","ATE","SIN REI","COLQUICHAGUA ARELLANO ABEL","active"
"RAMIRO PRIALE PRIALE","293729","1044783","primaria","EBR","ATE","SIN REI","LOPEZ DE LA CRUZ SANTOS","active"
"210 MARIA PARADO DE BELLIDO","292414","1044791","inicial_jardin","EBR","ATE","6","DOMINGUEZ NUÑEZ ANGELICA MARIA","active"
"RICARDO PALMA DE LOS PORTALES","293017","1044825","primaria","EBR","ATE","SIN REI","ARCE NEYRA CARMEN ROSA","active"
"212 ANDRES AVELINO CACERES","291669","1044833","inicial_jardin","EBR","ATE","10","DONDERO MOREY ROSA ANGELICA","active"
"213","292287","1044874","inicial_jardin","EBR","ATE","12","BULLÓN PAUCAR MIRIAM EUDOSIA","active"
"ROSA VICTORIA MARTICORENA","293022","1044908","primaria","EBR","ATE","SIN REI","VIDAL ULLOA MARTA JUDITH","active"
"214","291589","1044916","inicial_jardin","EBR","ATE","10","SEDANO MALLMA GLADYS","active"
"LOS NIÑOS DE JESUS DE CERES","292895","1044924","inicial_jardin","EBR","ATE","SIN REI","DE LA TORRE VASQUEZ VILMA RUTH","active"
"VIRGEN DEL CARMEN","339567","1044932","primaria","EBR","SANTA ANITA","SIN REI","MOLINA FUERTES VICTOR RAUL","active"
"SAINT JOSEPH SCHOOL","294272","1044940","primaria","EBR","ATE","SIN REI","MARTINEZ CASAS ROSA VICTORIA","active"
"1285","292683","1044957","inicial_jardin","EBR","ATE","9","VILLAVERDE ESPINOZA VLADIMIR","active"
"SAN BASILIO","294069","1044981","primaria","EBR","ATE","SIN REI","GONZALO ADBIAS BELEN NAUPA","active"
"1268 GUSTAVO MOHME LLONA","291792","1044999","primaria","EBR","ATE","12","BONZANO CUTTI MARIA ISABEL","active"
"DANIEL GOLEMAN","292904","1045004","inicial_jardin","EBR","ATE","SIN REI","MEDRANO ASTUHUAMAN ELSA MELIDA","active"
"PASCUAL SACO OLIVEROS - LUMBRERAS","293041","1045020","primaria","EBR","ATE","SIN REI","OCAS CORNEJO FLOR MIRIAM","active"
"MAESTRO DIVINO","294494","1045046","inicial_jardin","EBR","ATE","SIN REI","MACHUCA ARRIETA ZENOBIA","active"
"SAN JUAN BOSCO","293244","1045061","primaria","EBR","ATE","SIN REI","CASTRO MONCADA MARIA JESUS","active"
"1270 JUAN EL BAUTISTA","292640","1045079","primaria","EBR","ATE","12","ROJAS SACRAMENTO GREGORIO","active"
"SAN LORENZO","293060","1045103","primaria","EBR","ATE","SIN REI","FIGUEROA LEANDRO MANUEL ANTONIO","active"
"1271","292541","1045111","primaria","EBR","ATE","13","SUMIRE QQUENTA REBECA","active"
"SAN LUIS REY DE FRANCIA","293079","1045145","primaria","EBR","ATE","SIN REI","PAZ APOLINARIO ROSA MAURA","active"
"1279","292621","1045194","primaria","EBR","ATE","12","VIDALON RIVERA MARTIN BLADIMIR","active"
"SAN MARTINCITO","294088","1045228","primaria","EBR","ATE","SIN REI","EVANGELISTA ROSADO ESTHER GLADYS","active"
"SANTA INES","294045","1045269","primaria","EBR","ATE","SIN REI","SANCHEZ MORENO MALDONADO GLADYS EUFEMIA","active"
"1281 SANTA MARIA","291570","1045277","primaria","EBR","ATE","6","AMES ESCUDERO ELINER DALMIRA","active"
"CIENTIFICO ISAAC NEWTON","292937","1045285","inicial_jardin","EBR","ATE","SIN REI","ROBLES PICHO BETZABE BERTHA","active"
"ANDRES BELLO","719242","1045293","primaria","EBR","ATE","SIN REI","MONTALVO PALACIOS ZAIDA","active"
"1283 OKINAWA","292065","1045319","primaria","EBR","ATE","10","GUERRA CABRERA GLADYS LILIANA","active"
"SANTISIMA VIRGEN DE COCHARCAS","293140","1045343","primaria","EBR","ATE","SIN REI","CASTILLO ROMERO VILMA","active"
"ANNA JARVIS","294168","1045376","primaria","EBR","ATE","SIN REI","DAVILA BALCAZAR BLANCA FLOR","active"
"1285","292683","1045392","primaria","EBR","ATE","9","VILLAVERDE ESPINOZA VLADIMIR","active"
"ARCO IRIS","294173","1045418","primaria","EBR","ATE","SIN REI","GAYOSO ESTRELLA MELIDA","active"
"AKIRA KATO","720660","1045434","secundaria","EBR","ATE","11","CRISOSTOMO ROJAS BAYLON TEOFILO","active"
"BELEN","293376","1045459","primaria","EBR","ATE","SIN REI","CASTILLO ALBA ROSA MARIA","active"
"VIRGEN DE GUADALUPE","293970","1045467","primaria","EBR","ATE","SIN REI","CAMARENA GUILLERMO EDITHN SOFIA JOSE HEBER","active"
"PITAGORAS DE ATE","293343","1045483","inicial_jardin","EBR","ATE","SIN REI","CARRASCO HUAYAC ABSALON","active"
"CARLOS AUGUSTO SALAVERRY","292715","1045491","primaria","EBR","ATE","SIN REI","SOLORZANO VILLEGAS NELLY MARGARITA","active"
"CORAZON DE GUADALUPE","294234","1045533","primaria","EBR","ATE","SIN REI","CHUCHON MENDOZA MARCELINA","active"
"DOMINGO SAVIO","293423","1045574","primaria","EBR","ATE","SIN REI","LAURA ALFARO MARIA TERESA","active"
"SEMILLAS DEL FUTURO","293296","1045616","primaria","EBR","CHACLACAYO","SIN REI","MUÑOZ ALMONACID DE SALAZAR OFELIA MIRIAM","active"
"1255 WALTER PEÑALOZA RAMELLA","292598","1045632","secundaria","EBR","ATE","13","VILLANUEVA BONIFACIO ALFREDO CESAR","active"
"1257 REINO UNIDO DE GRAN BRETAÑA","292131","1045673","secundaria","EBR","ATE","12","RODRIGUEZ CARBAJAL ROY SANTIAGO","active"
"PEDRO RUIZ GALLO","719077","1045681","inicial_jardin","EBR","ATE","SIN REI","IZAGUIRRE NORIEGA SUSANA","active"
"ELVIRA GARCIA Y GARCIA","293442","1045699","primaria","EBR","ATE","SIN REI","JIMENEZ MACAVILCA ALICIA MIRIAN","active"
"1262 EL AMAUTA JOSE C. MARIATEGUI","291631","1045715","secundaria","EBR","ATE","9","YUPANQUI PEREDA ARTEMIO","active"
"RAMIRO PRIALE PRIALE","293729","1045723","inicial_jardin","EBR","ATE","SIN REI","LOPEZ DE LA CRUZ SANTOS DOMITI","active"
"FAMILIA DE NAZARETH","292782","1045731","primaria","EBR","ATE","SIN REI","JANETT NEGRON ITURREGUI","active"
"1263 PURUCHUCO","291612","1045756","secundaria","EBR","ATE","6","FERNANDEZ CUICAPUSA RAFAEL","active"
"FRANCISCO ANTONIO DE ZELA","292796","1045772","primaria","EBR","ATE","SIN REI","HUAIRA RAYMUNDO TEODOSIO","active"
"1264 JUAN ANDRES VIVANCO AMORIN","291985","1045798","secundaria","EBR","ATE","6","MILLA LAZARO CLORINDA FORTUNATA","active"
"RICARDO PALMA DE LOS PORTALES","293017","1045806","inicial_jardin","EBR","ATE","SIN REI","ARCE NEYRA CARMEN ROSA","active"
"FRATERNIDAD UNIVERSAL","292800","1045814","primaria","EBR","ATE","SIN REI","EVANGELISTA RICCI CESAR PABLO","active"
"15 MADRE TERESA DE CALCUTA","291773","1045830","primaria","EBE","ATE","SIN REI","PORRAS MENDIZABAL FANNY","active"
"GABRIELA MISTRAL","293833","1045855","primaria","EBR","ATE","SIN REI","FLORES JUNES MARIA CONSUELO","active"
"EL GRAN MAESTRO","294328","1045897","primaria","EBR","ATE","SIN REI","HILDA JOSEFA MASQUEZ BOHORQUEZ","active"
"SAN BASILIO","294069","1045921","inicial_jardin","EBR","ATE","SIN REI","GONZALO ADBIAS BELEN NAUPA","active"
"PASCUAL SACO OLIVEROS - LUMBRERAS","293041","1045962","inicial_jardin","EBR","ATE","SIN REI","OCAS CORNEJO FLOR MIRIAM","active"
"SAN LUIS REY DE FRANCIA","293079","1046002","inicial_jardin","EBR","ATE","SIN REI","PAZ APOLINARIO ROSA MAURA","active"
"INTERNACIONAL ELIM","292843","1046010","primaria","EBR","ATE","SIN REI","MEZA VALENZUELA MIGUEL ANGEL","active"
"ARCO IRIS","294173","1046036","inicial_cuna_jardin","EBR","ATE","SIN REI","GAYOSO ESTRELLA MELIDA","active"
"JAVIER PRADO","294408","1046051","primaria","EBR","ATE","SIN REI","MOLINA PALOMINO YOLANDA","active"
