"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"MI PEQUEÑO MUNDO","3381205","3381205","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LUCESITA","3381210","3381210","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LA ALEGRIA EN EL SEÑOR","307991","340190","primaria","EBR","LA MOLINA","SIN REI","RAMIREZ RAMOS DE MUÑOZ CARMEN ROSA","active"
"SANTA ROSA","314680","340257","primaria","EBR","LURIGANCHO","SIN REI","MORALES RUIZ HAROLD JANSEN","active"
"1199 MRCAL RAMON CASTILLA","298091","340299","secundaria","EBR","CHACLACAYO","17","LLACSA SOTOMAYOR VICTORIA MARY","active"
"COLEGIO NACIONAL VITARTE","292150","340315","secundaria","EBR","ATE","7","HARO LOPEZ EUSEBIO TEOFILO","active"
"EDELMIRA DEL PANDO","292013","340349","secundaria","EBR","ATE","8","RAMIREZ ALARCON MAXIMILIANO PEDRO","active"
"JOSEFA CARRILLO Y ALBORNOZ","314227","340372","secundaria","EBR","LURIGANCHO","19","VALENCIA FERNANDEZ AMERICO MANUELSHIÑO","active"
"NUESTRA SEÑORA DE LA SABIDURIA","314604","340380","secundaria","EBR","LURIGANCHO","16","APARICIO DE LA BARRA CARMEN ROSA","active"
"FELIPE SANTIAGO ESTENOS","298053","340414","secundaria","EBR","CHACLACAYO","17","SERRANO FUENTES MARIA DEL PILAR","active"
"COLEGIO EXPERIMENTAL DE APLICACION DE LA UNE ENRIQUE GUZMAN Y VALLE","313652","340422","secundaria","EBR","LURIGANCHO","19","PUMACAYO SANCHEZ HEINRICH FRANK","active"
"1278 MIXTO LA MOLINA","307528","340430","secundaria","EBR","LA MOLINA","2","AGUILAR LUDEÑA ELMER HECTOR","active"
"SANTA MARIA EUFRASIA","307646","340471","primaria","EBR","LA MOLINA","SIN REI","MERE PAIPAY MIGUEL ALBERTO","active"
"COLEGIO PERUANO NORTEAMERICANO ABRAHAM LINCOLN","307811","340505","secundaria","EBR","LA MOLINA","SIN REI","REQUENA PEREZ LUIS ALBERTO","active"
"BEATA IMELDA","314454","340521","secundaria","EBR","LURIGANCHO","SIN REI","CONDORI HUISA RINA","active"
"FRANKLIN DELANO ROOSEVELT","307533","340596","secundaria","EBR","LA MOLINA","SIN REI","JORDAN KING ELIO","active"
"NUESTRA SEÑORA DE LA MERCED","292975","343517","secundaria","EBR","ATE","SIN REI","MIDZUARAY FUKUY ARTURO FRANCISCO","active"
